ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;416;216;975;
100;583;123;726;
150;684;115;942;
200;631;111;953;
250;589;109;886;
300;741;137;1143;
350;705;151;1145;
400;1142;107;1438;
450;989;135;1545;
500;1491;125;1836;
