ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;1019;97;1164;
2;904;138;1016;
3;1335;172;1381;
4;640;234;1219;
5;1441;289;1489;
6;1298;452;1366;
7;2113;501;2292;
8;1558;476;1661;
9;1509;628;1655;
10;1233;752;1349;
