ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;67;298;701;
100;46;181;635;
150;86;111;986;
200;73;174;760;
250;77;130;890;
300;75;139;907;
350;75;133;1170;
400;72;136;1026;
450;93;146;1322;
500;100;129;1375;
