ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;461;75;521;
2;771;142;439;
3;19385;64;6462;
4;9814;279;3252;
5;4650;347;1074;
6;15139;341;1013;
7;4588;211;1541;
8;19461;460;1580;
9;2257;360;1445;
10;16468;711;1863;
