ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;1363;128;414;
1200;1241;34;387;
1400;1216;53;378;
1600;1296;59;392;
1800;1845;92;563;
2000;2513;98;673;
2200;1966;114;541;
2400;2377;131;657;
2600;2452;220;641;
2800;2121;268;616;
3000;2082;278;571;
