ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;1531;75;1648;
2;2228;111;1216;
3;2244;158;901;
4;4455;225;1220;
5;4479;383;1035;
6;7801;350;1526;
7;7211;454;1126;
8;10643;538;1449;
9;9952;685;1219;
10;12146;553;1377;
