ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;679;96;651;
1200;574;34;248;
1400;180;15;271;
1600;166;31;263;
1800;178;24;300;
2000;12144;8;1792;
2200;2777;136;737;
2400;1261;167;311;
2600;148;18;272;
2800;265;36;317;
3000;227;67;1058;
