ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;2669;300;673;
100;2973;115;759;
150;4735;111;1334;
200;3058;130;887;
250;5090;107;1862;
300;5099;108;1457;
350;4730;118;1339;
400;2890;144;1158;
450;6599;93;1844;
500;6047;88;1950;
