ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;344;83;411;
2;552;126;329;
3;532;92;312;
4;291;100;823;
5;677;250;411;
6;0;102;962;
7;1372;267;430;
8;870;588;674;
9;640;283;773;
10;22109;564;1688;
