ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;774;92;856;
2;2035;128;1115;
3;2662;157;985;
4;3359;241;969;
5;5546;408;1205;
6;12724;372;2227;
7;7664;500;1205;
8;10643;607;1448;
9;9682;526;1183;
10;13752;539;1478;
