ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;1402;211;428;
1200;1733;56;482;
1400;1689;102;461;
1600;1188;87;384;
1800;1274;80;444;
2000;2075;118;602;
2200;1595;131;581;
2400;2171;147;591;
2600;1967;222;577;
2800;2276;180;637;
3000;2341;269;681;
