ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;1449;117;1063;
100;1451;98;1141;
150;1669;87;1318;
200;3280;90;2330;
250;4181;71;2826;
300;4365;90;3176;
350;3877;83;2821;
400;3234;93;2469;
450;3312;94;2573;
500;4477;93;3394;
