ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;0;60;2300;
100;0;71;2479;
150;651;44;802;
200;0;22;2831;
250;0;23;3031;
300;1246;40;1547;
350;0;195;3603;
400;0;22;3630;
450;2005;200;2457;
500;2037;34;2538;
