ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;948;50;774;
1200;1170;41;852;
1400;1225;55;916;
1600;1035;61;763;
1800;1279;79;919;
2000;1335;95;1017;
2200;1240;94;942;
2400;1448;112;971;
2600;1215;158;932;
2800;1760;157;1161;
3000;1849;164;1346;
