ParamType=M
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1;63;63;2059;
2;104;87;1903;
3;169;103;1743;
4;114;147;1136;
5;194;219;1717;
6;155;223;1277;
7;570;246;4241;
8;304;370;1983;
9;168;357;1295;
10;214;394;1726;
