ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;258;230;889;
1200;214;36;347;
1400;355;73;491;
1600;322;83;553;
1800;521;143;557;
2000;587;113;722;
2200;364;127;521;
2400;435;192;603;
2600;502;250;622;
2800;612;163;747;
3000;587;196;694;
