ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;2425;213;645;
100;2104;116;596;
150;2894;102;821;
200;1757;88;757;
250;2483;140;817;
300;3733;108;1126;
350;3174;96;1051;
400;3396;92;1202;
450;3218;126;1331;
500;3179;89;1189;
