ParamType=Delta
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
50;1526;177;377;
100;320;14;414;
150;286;20;433;
200;343;14;517;
250;311;21;596;
300;509;18;823;
350;605;14;952;
400;717;15;1108;
450;557;19;1011;
500;898;61;1356;
