ParamType=N
ParamValue;RequestTime;ClientProcTime;ClientWorkTime;
1000;2649;273;645;
1200;439;31;539;
1400;475;35;549;
1600;466;43;567;
1800;482;68;580;
2000;0;32;977;
2200;537;172;647;
2400;566;254;643;
2600;6018;228;1001;
2800;1095;352;638;
3000;671;411;784;
